QUESTIONARIO;PESQUISADOR;INICIO COLETA;FIM COLETA;P0001-REGIÃO;P0006-SEXO;P0007-FAIXA ETÁRIA;P0008-ESCOLARIDADE;P0009-DIA 28 TEREMOS ELEIÇÃO DE SEGUNDO TURNO PARA PRESIDENTE DO BRASIL E GOVERNADOR DE CAFUÇU. GOSTARIA DE SABER QUAL É O SEU INTERESSE PELAS ELEIÇÕES DESTE ANO? (ESTIMULADA RU);P0010-EM RELAÇÃO AO SEU VOTO PARA GOVERNADOR DE CAFUÇU, O (A) SR. (A) DIRIA QUE: (RU ESTIMULADA);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(A);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(B);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(C);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(D);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(E);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(F);P0012-(APENAS PARA QUEM ASSISTE/OUVE) QUAL DESSES CANDIDATOS A GOVERNADOR APRESENTOU AS MELHORES PROPOSTAS PARA CAFUÇU? (RU ESTIMULADA);P0013-SE AS ELEIÇÕES PARA GOVERNADOR DE CAFUÇU FOSSEM HOJE, EM QUAL DESTES CANDIDATOS O (A) SR. (A) VOTARIA? (ESTIMULADA RU);P0014-SOBRE A GESTÃO DO GOVERNADOR PESCOÇO GROSSO, COMO VOCÊ AVALIA A SUA ADMINISTRAÇÃO? (RU ESTIMULADA);P0015-E SOBRE A FORMA DE ADMINISTRAR DO GOVERNADOR PESCOÇO GROSSO, VOCÊ APROVA OU DESAPROVA? (RU ESTIMULADA);P0016-TAMBÉM AVALIANDO A GESTÃO DE PESCOÇO GROSSO, QUAL DAS SEGUINTES FRASES MELHOR REPRESENTA A SUA OPINIÃO SOBRE A GESTÃO DO GOVERNADOR? (RU ESTIMULADA);P0017-DIA 28 TEREMOS ELEIÇÃO PARA PRESIDENTE DO BRASIL, EM QUAL DESTES CANDIDATOS VOCÊ VOTARIA? (ESTIMULADA RU);P0018-(APENAS PARA BOLSONARO) SE JAIR BOLSONARO APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI? (RU ESTIMULADA);P0019-EM QUAL DESTES CANDIDATOS A GOVERNADOR VOCÊ VOTOU NO PRIMEIRO TURNO? (RU ESTIMULADA);P0020-(APENAS PARA FILHO DE PAPAI) ESTÃO CONVICTOS DE REPETIR O VOTO EM FILHO DE PAPAI NO SEGUNDO TURNO? (RU ESTIMULADA);P0021-(APENAS PARA PESCOÇO GROSSO) ESTÃO CONVICTOS DE REPETIR O VOTO EM PESCOÇO GROSSO NO SEGUNDO TURNO? (RU ESTIMULADA);P0022-SE O SENADOR ELEITO FICHA LIMPA APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI NESTE SEGUNDO TURNO? (RU ESTIMULADA)
1895;T355969063098179;2018-10-22 11:48:17.0;2018-10-22 11:53:28.0;0003-LESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0003-NÃO SABE;0006-YOUTUBE;;;;;;0001-FILHO DE PAPAI (PSB);0002-PESCOÇO GROSSO (PSD);0006-NÃO SABE;0003-NÃO SABE;0008-NÃO RESPONDEU;0004-NÃO SABE;null-null;0005-NÃO SABE;null-null;null-null;0005-NÃO RESPONDEU
1896;T355969063098179;2018-10-22 11:53:41.0;2018-10-22 11:54:53.0;0003-LESTE;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0009-NÃO RESPONDEU;;;;;;null-null;0003-NENHUM DELES;0007-NÃO RESPONDEU;0001-APROVO;0006-NENHUMA DELAS;0005-NÃO RESPONDEU;null-null;0006-NÃO RESPONDEU;null-null;null-null;0005-NÃO RESPONDEU
1897;T355969063098179;2018-10-22 11:55:11.0;2018-10-22 11:56:42.0;0003-LESTE;0001-FEMININO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0009-NÃO RESPONDEU;;;;;;null-null;0004-NÃO SABE;0002-BOM;0001-APROVO;0008-NÃO RESPONDEU;0004-NÃO SABE;null-null;0005-NÃO SABE;null-null;null-null;0005-NÃO RESPONDEU
1898;T355950081794684;2018-10-22 08:17:00.0;2018-10-22 08:36:00.0;0003-LESTE;0002-MASCULINO;0004-35 A 44 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1899;T355950081794684;2018-10-22 08:38:03.0;2018-10-22 08:44:40.0;0003-LESTE;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1900;T355950081794684;2018-10-22 08:51:32.0;2018-10-22 08:57:09.0;0003-LESTE;0001-FEMININO;0006-60 A 69 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
1901;T355950081794684;2018-10-22 08:57:54.0;2018-10-22 09:10:11.0;0003-LESTE;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0004-RUIM;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
1902;T355950081794684;2018-10-22 09:13:03.0;2018-10-22 09:16:46.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1903;T355950081794684;2018-10-22 09:17:54.0;2018-10-22 09:25:27.0;0003-LESTE;0002-MASCULINO;0005-45 A 59 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1904;T355950081794684;2018-10-22 09:26:09.0;2018-10-22 09:34:42.0;0003-LESTE;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1905;T355950081794684;2018-10-22 09:37:20.0;2018-10-22 09:44:00.0;0003-LESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1906;T355950081794684;2018-10-22 09:47:51.0;2018-10-22 09:57:48.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1907;T355950081794684;2018-10-22 09:58:34.0;2018-10-22 10:05:15.0;0003-LESTE;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0003-NENHUM DELES;0003-NENHUM DELES;0003-REGULAR;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1908;T355950081794684;2018-10-22 10:08:15.0;2018-10-22 10:31:48.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0003-NÃO SABE;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0004-NÃO SABE;null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1909;T355950081794684;2018-10-22 10:32:42.0;2018-10-22 10:52:02.0;0003-LESTE;0001-FEMININO;0004-35 A 44 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1910;T355950081794684;2018-10-22 10:53:14.0;2018-10-22 10:58:21.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0003-NÃO SABE;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1911;T355950081794684;2018-10-22 11:02:01.0;2018-10-22 11:05:34.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0004-INSTAGRAN;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0002-DESAPROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
1912;T355950081794684;2018-10-22 11:05:54.0;2018-10-22 11:15:51.0;0003-LESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;;;;;0004-NÃO SABE;0003-NENHUM DELES;0007-NÃO RESPONDEU;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1913;T355950081794684;2018-10-22 11:16:35.0;2018-10-22 11:25:55.0;0003-LESTE;0001-FEMININO;0004-35 A 44 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1914;T355950081794684;2018-10-22 11:33:14.0;2018-10-22 11:40:19.0;0003-LESTE;0001-FEMININO;0006-60 A 69 ANOS;0001-ANALFABETO/LÊ E ESCREVE;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;null-null;null-null;0004-NÃO SABE
1915;T351829091268638;2018-10-22 12:04:32.0;2018-10-22 12:06:17.0;0003-LESTE;0002-MASCULINO;0006-60 A 69 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1916;T353116095703291;2018-10-22 08:30:52.0;2018-10-22 08:49:50.0;0002-AGRESTE;0002-MASCULINO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
1917;T353116095703291;2018-10-22 09:01:58.0;2018-10-22 09:14:52.0;0002-AGRESTE;0001-FEMININO;0006-60 A 69 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1918;T353116095703291;2018-10-22 09:18:06.0;2018-10-22 09:40:02.0;0002-AGRESTE;0001-FEMININO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1919;T353116095703291;2018-10-22 09:44:18.0;2018-10-22 09:49:10.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1920;T353116095703291;2018-10-22 09:50:04.0;2018-10-22 10:05:11.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1921;T353116095703291;2018-10-22 10:22:03.0;2018-10-22 10:25:03.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
1922;T353116095703291;2018-10-22 10:27:43.0;2018-10-22 10:42:37.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0002-PESCOÇO GROSSO (PSD);0006-NÃO SABE;0003-NÃO SABE;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1923;T353116095703291;2018-10-22 10:48:09.0;2018-10-22 11:18:52.0;0002-AGRESTE;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0003-NÃO SABE;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0003-NENHUM DELES;0004-NÃO SABE;0006-NÃO SABE;0003-NÃO SABE;0007-NÃO SABE;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1924;T353116095703291;2018-10-22 11:20:56.0;2018-10-22 11:24:22.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0003-NENHUM DELES;0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1925;T353116095703291;2018-10-22 11:27:17.0;2018-10-22 11:29:50.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
1926;T353116095703291;2018-10-22 11:40:27.0;2018-10-22 11:43:14.0;0002-AGRESTE;0002-MASCULINO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0002-DESAPROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1927;T353116095703291;2018-10-22 11:44:39.0;2018-10-22 11:46:42.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0003-NENHUM DELES;null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1928;T353116095703291;2018-10-22 11:47:16.0;2018-10-22 11:48:08.0;0002-AGRESTE;0001-FEMININO;0001-16 A 17 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;;;;;0004-NÃO SABE;0004-NÃO SABE;0006-NÃO SABE;0003-NÃO SABE;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0005-NÃO SABE;null-null;null-null;0004-NÃO SABE
1929;T353116095703291;2018-10-22 11:51:32.0;2018-10-22 11:59:35.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0002-TALVEZ VOTARIA
1930;T353116095703291;2018-10-22 12:08:45.0;2018-10-22 12:11:02.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0002-DESAPROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
